Industry,investment_type,SubIndustry,ProductServiceType,name,Unicorn,org_name,cb_url,rank,legal_name,roles,homepage_url,country_code,region,city,status,short_description,category_list,category_groups_list,num_funding_rounds,total_funding_usd,founded_on,last_funding_on,closed_on,employee_count,logo_url,alias1,primary_role,num_exits,funding_round_uuid,org_country_code,announced_on,raised_amount_usd,post_money_valuation_usd,post_money_valuation,investor_count,investor_name,investor_type,is_lead_investor,investor_country_code,investor_types,investor_investment_count,investor_total_funding_usd,is_lead_investor_name,featured_job_title,acquirer_name,acquisition_type,acquired_on,stock_exchange_symbol,stock_symbol,went_public_on,valuation_price_usd,money_raised_usd,funding_year,founded_year,acquired_year,went_public_year,country_name(CHN),country_name,country_name_full,Post Money Value
儲能,Series B,電池循環經濟,"電池回收再利用,二次生命電池",Matter,,Matter,https://www.crunchbase.com/organization/matter-motor-works,9500.0,Matter Motor Works Pvt. Ltd.,company,https://matter.in,IND,Gujarat,Ahmedabad,operating,Matter is a technology company that provides energy storage and electric vehicle solutions and products.,"Automotive,Electric Vehicle,Energy Storage","Energy,Transportation",4.0,26882589.0,2019-01-04,2024-06-26,,,https://images.crunchbase.com/image/upload/t_cb-default-original/u4tobuzn5kqhb015kmfh,Matter Motor Works,company,,6af3e00e-dac1-45ef-8966-576184b8a2ec,IND,2024-06-26,9882589.0,202198247.0,16900000000.0,6.0,Abhay Shah,person,,IND,angel,1.0,,Helena,Founder and CEO,,,,,,,,,2024.0,2019.0,,,印度,India,India,
儲能,Pre-Seed,儲能系統整合,"系統整合,儲能專案開發與營運商",AZR,,AZR,https://www.crunchbase.com/organization/mytek-ventures,186382.0,MYTEK VENTURES SDN BHD,company,http://www.azrtek.com,MYS,Selangor,Petaling Jaya,operating,Advanced Powertrain Technology and Engineering Solutions,"Aerospace,Automotive,Electric Vehicle,Energy Storage","Energy,Science and Engineering,Transportation",1.0,250000.0,2019-09-23,2021-09-27,,,https://images.crunchbase.com/image/upload/t_cb-default-original/nehigqagxkltqev9yndi,MYTEK,company,,3fe52375-c003-43d0-bec1-172b536fe47f,MYS,2021-09-27,250000.0,,,1.0,Newchip Accelerator,organization,,USA,"accelerator,incubator,venture_capital",1276.0,10750000.0,,,,,,,,,,,2021.0,2019.0,,,馬來西亞,Malaysia,Malaysia,
儲能,Seed,化學儲能,電轉氫,Hydroplane,,Hydroplane,https://www.crunchbase.com/organization/hydroplane,25623.0,Hydroplane Ltd.,company,http://hydroplane.us,USA,California,Sherman Oaks,operating,Emission free aviation and energy storage technology company,"Aerospace,Air Transportation,Energy Storage,Renewable Energy,Transportation","Energy,Science and Engineering,Sustainability,Transportation",1.0,2000000.0,2020-07-16,2021-06-15,,,https://images.crunchbase.com/image/upload/t_cb-default-original/wildbl9jwuphcik3sbgo,,company,,6dfe1fda-d365-4a23-8d62-54bfcca6eb53,USA,2021-06-15,2000000.0,,,,,,,,,,,,CEO,,,,,,,,,2021.0,2020.0,,,美國,USA,United States of America,
儲能,Grant,儲能系統整合,"設備供應安裝,系統整合,儲能專案開發與營運商",Sparkplug Power,,Sparkplug Power,https://www.crunchbase.com/organization/sparkplug-power,752458.0,,company,http://sparkplugpower.com/,USA,Massachusetts,Somerville,operating,Sparkplug Power is a developer of energy storage equipment.,"Energy Storage,Renewable Energy","Energy,Sustainability",2.0,150000.0,2009-01-01,2016-01-01,,,https://images.crunchbase.com/image/upload/t_cb-default-original/bek8vgm92x7p8b76hjvd,,company,,1aad2130-aed2-47ac-8a96-5bc384ba0f65,USA,2014-04-07,150000.0,,,1.0,Massachusetts Clean Energy Center,organization,,USA,government_office,314.0,,Massachusetts Clean Energy Center,Founder and President,,,,,,,,,2014.0,2009.0,,,美國,USA,United States of America,
儲能,Seed,化學儲能,電轉氫,SparkNano,,SparkNano,https://www.crunchbase.com/organization/saldtech,46592.0,SparkNano B.V.,company,https://www.spark-nano.com/,NLD,Noord-Brabant,Eindhoven,operating,"S-ALD, nano coating, reducing the dependency on scarce material, electrolysers, fuel cells, batteries","Battery,CleanTech,Energy Efficiency,Machinery Manufacturing,Nanotechnology,Sustainability","Energy,Manufacturing,Science and Engineering,Sustainability",2.0,5362160.0,2018-01-01,2022-11-03,,,https://images.crunchbase.com/image/upload/t_cb-default-original/wo6vw3rgwnak2bdvik7g,SALDTech,company,,5e44b6de-44b7-46bc-a290-836a0b7a0955,NLD,2022-11-03,5362160.0,,,6.0,Somerset Capital,organization,,USA,venture_capital,3.0,,Air Liquide ALIAD,,,,,,,,,,2022.0,2018.0,,,荷蘭,Netherlands,Netherlands,
儲能,Grant,"電化學儲能,儲能系統整合","鋰硫電池,設備供應安裝",4th State Energies,,4th State Energies,https://www.crunchbase.com/organization/siliion,94687.0,SiLi-ion Inc.,company,https://4thStateEnergies.com,USA,California,Riverside,operating,4th State Energies is a company that produces additives enabling immediate improvement in battery performance.,"Battery,Chemical,Energy Storage,Manufacturing","Energy,Manufacturing,Science and Engineering",4.0,850000.0,2019-09-01,2024-01-09,,,https://images.crunchbase.com/image/upload/t_cb-default-original/42c24e8ab41c4409b7fbb70467917ef2,4th State Energies,company,,29321039-2046-434b-8a3f-05f620766bb3,USA,2021-02-10,450000.0,,,1.0,New Energy Nexus: CalSEED,organization,,USA,entrepreneurship_program,3.0,,New Energy Nexus: CalSEED,CEO,,,,,,,,,2021.0,2019.0,,,美國,USA,United States of America,
儲能,Debt,其它,,Finapp,,Finapp,https://www.crunchbase.com/organization/finapp,67403.0,FINAPP SRL,company,https://finapptech.com/,ITA,Veneto,Padova,operating,Finapp is an innovative startup that produces a new generation of CRNS probes that allow measuring the water content.,"Farming,Hydroelectric,Water","Agriculture and Farming,Energy,Natural Resources,Sustainability",4.0,4705748.0,2019-01-01,2023-06-23,,,https://images.crunchbase.com/image/upload/t_cb-default-original/usevsirbay2ythfyelh7,,company,,903536fe-81b8-4064-9da0-c9230789334b,ITA,2023-06-20,3275993.0,,,1.0,EIC Accelerator,organization,,BEL,accelerator,408.0,,EIC Accelerator,CEO,,,,,,,,,2023.0,2019.0,,,義大利,Italy,Italy,
儲能,Debt,儲能系統整合,"系統整合,儲能專案開發與營運商",Source Renewables,,Source Renewables,https://www.crunchbase.com/organization/source-renewables,157163.0,"Source Renewables, LLC",company,https://sourcerenew.com,USA,Connecticut,Greenwich,operating,Source Renewables is a clean energy development company that develops community solar and storage projects.,"Energy,Energy Management,Energy Storage,Project Management,Renewable Energy,Solar","Administrative Services,Energy,Natural Resources,Other,Sustainability",1.0,200000.0,2017-01-01,2021-08-23,,,https://images.crunchbase.com/image/upload/t_cb-default-original/uxzqgklnogezreb2deep,,company,,884965a5-1dc2-43b5-805f-b6368eabc319,USA,2021-08-23,200000.0,,,,,,,,,,,,Founder,,,,,,,,,2021.0,2017.0,,,美國,USA,United States of America,
儲能,Pre-Seed,儲能系統整合,設備供應安裝,Enerjazz,,Enerjazz,https://www.crunchbase.com/organization/enerjazz,134418.0,,company,https://www.enerjazz.tech,IND,Uttar Pradesh,Noida,operating,Enerjazz provides a battery swapping network for commercial electric vehicles.,"Battery,Charging Infrastructure,Electric Vehicle,Renewable Energy","Energy,Sustainability,Transportation",1.0,125000.0,2018-01-01,2021-08-31,,,https://images.crunchbase.com/image/upload/t_cb-default-original/ew4xushcxwmvpbnekfhg,Enerjazz Technology Solutions,company,,28ebbd39-07d1-41ef-821f-dc3ca186e7fc,IND,2021-08-31,125000.0,,,1.0,Y Combinator,organization,,USA,accelerator,7773.0,,Y Combinator,Co-Founder Chief Executive Officer,,,,,,,,,2021.0,2018.0,,,印度,India,India,
儲能,Others,電池循環經濟,"電池回收再利用,二次生命電池",Coulomb AI,,Coulomb AI,https://www.crunchbase.com/organization/coulomb-ai,89869.0,"Coulomb AI, Inc.",company,https://www.coulomb.ai,IND,Karnataka,Bangalore,operating,Coulomb AI provides predictive battery analytics software for electric vehicles.,"Analytics,Artificial Intelligence (AI),Battery,Electric Vehicle,Software","Artificial Intelligence (AI),Data and Analytics,Energy,Science and Engineering,Software,Transportation",2.0,145000.0,2020-01-01,2024-01-10,,,https://images.crunchbase.com/image/upload/t_cb-default-original/ghzkhvy5iwmmkmimulmj,,company,,c8878d06-9cd4-429c-8259-cc91bf801882,IND,2024-01-10,20000.0,,,,,,,,,,,,Co-Founder,,,,,,,,,2024.0,2020.0,,,印度,India,India,
儲能,PE,"其它,熱能儲能",地壓地熱儲能,aventron,,aventron,https://www.crunchbase.com/organization/aventron,57609.0,AVENTRON AG,company,http://www.aventron.com,CHE,Basel-Stadt,Münchenstein,operating,"aventron is a operator of green power plan, solar plants, hydro plants.","Energy,Hydroelectric,Renewable Energy","Energy,Sustainability",2.0,118793114.0,2005-01-01,2022-07-18,,,https://images.crunchbase.com/image/upload/t_cb-default-original/ea1gm1impbormhu042w3,,company,,f29d55f0-dcb9-4daf-b793-43b4cf6b381d,CHE,2022-07-18,61376428.0,,,,,,,,,,,,,,,,,,,,,2022.0,2005.0,,,瑞士,Switzerland,Switzerland,
儲能,Post IPO,機械儲能,空氣儲能,Corre Energy,,Corre Energy,https://www.crunchbase.com/organization/corre-energy,56289.0,,company,https://corre.energy,NLD,Groningen,Groningen,ipo,"Corre Energy develops, builds and operates grid-scale underground energy storage.","Energy,Energy Storage,Renewable Energy","Energy,Sustainability",4.0,24921818.0,2018-01-01,2024-08-30,,,https://images.crunchbase.com/image/upload/t_cb-default-original/qhhphqzfc8xkrhqg0yng,Corre Energy B.V,company,,d5e5afc7-f6b9-4e86-8768-dc6b804283c2,NLD,2022-05-25,11648771.0,,,,,,,,,,,,Founder and CEO,,,,epa,CORRE,2021-09-23,,,2022.0,2018.0,,2021.0,荷蘭,Netherlands,Netherlands,
儲能,Debt,"化學儲能,機械儲能","電轉氫,合成甲烷,綠氨,抽蓄水力儲能",Georgia Global Utilities,,Georgia Global Utilities,https://www.crunchbase.com/organization/georgia-global-utilities,60240.0,,company,https://www.ggu.ge/,GEO,Dushet'is Raioni,Tbilisi,operating,"GGU is a water utility and renewable energy holding company that distributes potable water, collects, and processes wastewater.","Energy,Energy Efficiency,Energy Management,Hydroelectric,Power Grid,Water,Water Purification","Energy,Natural Resources,Sustainability",1.0,300000000.0,2007-01-01,2024-07-26,,,https://images.crunchbase.com/image/upload/t_cb-default-original/qdp39lpmcl7pk43f5nrn,,company,,6fe2b879-36bc-4bd2-b191-43bcb4f426da,GEO,2024-07-26,300000000.0,,,4.0,Asian Development Bank,organization,,PHL,investment_bank,85.0,98374331.0,,Chief Technical Officer,,,,,,,,,2024.0,2007.0,,,喬治亞,Georgia,Georgia,
儲能,Angel,電池循環經濟,電池回收再利用,ShenmaChong,,ShenmaChong,https://www.crunchbase.com/organization/shenmachong,131946.0,,company,http://www.shenmachong.cn,CHN,Shanghai,Shanghai,operating,ShenmaChong is a comprehensive solution provider of smart charging services.,"Battery,Charging Infrastructure,Internet of Things","Energy,Internet Services,Transportation",2.0,3046273.0,2020-01-01,2021-10-12,,,https://images.crunchbase.com/image/upload/t_cb-default-original/qlm0sb1vkh6gcjwsr6ny,上海麒威物联网科技有限公司,company,,5dbceeeb-4dc5-4b90-aa78-7adf346461cb,CHN,2021-04-01,3046273.0,,,,,,,,,,,,,,,,,,,,,2021.0,2020.0,,,中國,China,Peoples Republic of China2,
儲能,Pre-Seed,儲能系統整合,"設備供應安裝,系統整合,儲能專案開發與營運商",Power Bank Stations,,Power Bank Stations,https://www.crunchbase.com/organization/power-bank-stations,173859.0,Power Bank Stations,company,http://powerbankstations.com/,EGY,Al Iskandariyah,Alexandria,operating,Power Bank Stations is a tech-based company offering charging solutions helping smart devices owners to stay connected,"Battery,GreenTech,Mobile Apps,Sharing Economy,Software","Apps,Energy,Mobile,Other,Software,Sustainability",4.0,120000.0,2020-02-01,2022-02-28,,,https://images.crunchbase.com/image/upload/t_cb-default-original/nuqqa1oqyhulep7xdswb,Power Bank Stations,company,,64980fc3-705f-484d-9662-afb3c2920e68,EGY,2021-02-01,20000.0,,,,,,,,,,,,,,,,,,,,,2021.0,2020.0,,,埃及,Egypt,Egypt,
儲能,Grant,"電池循環經濟,儲能系統整合","電池回收再利用,設備供應安裝",Aesir Technologies,,Aesir Technologies,https://www.crunchbase.com/organization/aesir-technologies,35287.0,"Aesir Technologies, Inc.",company,https://aesirtec.com/,USA,Missouri,Joplin,operating,Aesir Technologies specializes in the development and commercialization of nickel-zinc battery technologies.,"Battery,Electrical Distribution,Electronics,Manufacturing","Consumer Electronics,Energy,Hardware,Manufacturing",3.0,109690435.0,2011-01-01,2022-04-27,,,https://images.crunchbase.com/image/upload/t_cb-default-original/zwhqclxd9oozzmktqfoa,,company,,f8c19194-b932-4a90-a5a4-f6cdf4ad576a,USA,2022-04-27,847543.0,,,1.0,National Science Foundation,organization,,USA,"entrepreneurship_program,government_office",4583.0,,National Science Foundation,President CEO,,,,,,,,,2022.0,2011.0,,,美國,USA,United States of America,
儲能,Grant,其它,,Maeve Aerospace,,Maeve Aerospace,https://www.crunchbase.com/organization/venturi-359c,19537.0,Maeve Aerospace B.V.,company,https://maeve.aero,NLD,Zuid-Holland,Delft,operating,Maeve Aerospace is a all-electric aircraft.,"Aerospace,Battery,Sustainability","Energy,Science and Engineering,Sustainability",4.0,2476975.0,2020-09-01,2025-07-17,,,https://images.crunchbase.com/image/upload/t_cb-default-original/gw2mbbrpggb1twv2ak3b,Maeve Aerospace,company,,0561010c-ceab-4677-9c0d-6d9ffd8dbc1b,NLD,2022-10-05,2476975.0,,,1.0,European Innovation Council,organization,,BEL,"accelerator,venture_capital",1195.0,,European Innovation Council,Co-Founder CEO,,,,,,,,,2022.0,2020.0,,,荷蘭,Netherlands,Netherlands,
儲能,Post IPO,儲能系統整合,"設備供應安裝,系統整合,儲能專案開發與營運商",Siemens Energy,,Siemens Energy,https://www.crunchbase.com/organization/siemens-energy-6cf7,9738.0,,"company,investor",https://www.siemens-energy.com/,DEU,Bayern,München,ipo,Siemens Energy AG is one of the worlds leading energy technology company.,"Energy,Energy Storage,Industrial,Industrial Automation,Oil and Gas,Power Grid,Renewable Energy","Energy,Manufacturing,Natural Resources,Science and Engineering,Sustainability",5.0,7430788182.0,2020-01-01,2025-03-26,,,https://images.crunchbase.com/image/upload/t_cb-default-original/pcss8rmaoke81i2qqlvw,,investor,,c60ddcb4-dc70-41df-9113-5d0342f07f61,DEU,2025-03-26,149741356.0,,,1.0,Commercial Bank of Dubai,organization,,ARE,investment_bank,13.0,500000000.0,Commercial Bank of Dubai,President CEO,,,,etr,ENR,2020-09-28,,,2025.0,2020.0,,2020.0,德國,Germany,Germany,
儲能,Seed,化學儲能,電轉氫,Iongenics,,Iongenics,https://www.crunchbase.com/organization/iongenics-electrochemical-technologies,196152.0,iongenics Elektrokimyasal Teknolojiler Arge Sanayi Ticaret Muhendislik Danismanlik Anonim Sirketi,company,https://www.iongenics.com/,TUR,Izmir,Urla,operating,Iongenics is a manufacturing company that develops and produces modular systems for green hydrogen generation.,"Energy Storage,Machinery Manufacturing,Manufacturing,Product Design","Design,Energy,Manufacturing",2.0,40000.0,2020-09-01,2022-12-29,,,https://images.crunchbase.com/image/upload/t_cb-default-original/f789r9vrduruo8bhrusi,,company,,90fae104-a646-46af-b133-f072ef1d4099,TUR,2022-12-29,40000.0,400000.0,400000.0,1.0,Tupras Ventures,organization,,TUR,corporate_venture_capital,7.0,,Tupras Ventures,,,,,,,,,,2022.0,2020.0,,,土耳其,Turkey,Turkey,
儲能,Grant,電池循環經濟,"電池回收再利用,二次生命電池",GRST,,GRST,https://www.crunchbase.com/organization/grst,35159.0,GRST Holdings Limited,company,https://www.grst.com/,HKG,New Territories,Sha Tin,operating,"Tech and research company with award-winning, patented water-based lithium-ion battery manufacturing and recycling technology.","Battery,Manufacturing","Energy,Manufacturing",1.0,1229110.0,2015-01-01,2023-11-07,,,https://images.crunchbase.com/image/upload/t_cb-default-original/f6f92enid8xxnzzwga1z,,company,,98bd5f8b-bfe7-4789-baee-5ba525b4c5fb,HKG,2023-11-07,1229110.0,,,1.0,Earthshot Prize,organization,,GBR,,14.0,,Earthshot Prize,CFO,,,,,,,,,2023.0,2015.0,,,香港特別行政區,French Polynesia,Hong Kong7,
儲能,Series A,"電池循環經濟,儲能系統整合","電池回收再利用,二次生命電池,設備供應安裝",Maxem,,Maxem,https://www.crunchbase.com/organization/maxem,62905.0,Maxem Energy Solutions BV,company,https://maxem.io,NLD,Noord-Holland,Amsterdam,operating,"Optimize and manage charging stations, batteries, solar and the grid with our (white label) Charging and Energy Management Saas cloud.","Clean Energy,Energy,Energy Efficiency,Energy Management,Energy Storage,Information Technology,Power Grid,Software,Solar","Energy,Information Technology,Natural Resources,Software,Sustainability",2.0,5067311.0,2014-01-01,2023-06-23,,,https://images.crunchbase.com/image/upload/t_cb-default-original/wics1o7uuz4sssb2d5gu,,company,,ab1a6bd1-7d4d-4b11-8806-3ebd27e6c968,NLD,2023-06-23,3929916.0,,,2.0,Breesaap Green Link,organization,,ESP,venture_capital,2.0,,SHIFT Invest,,,,,,,,,,2023.0,2014.0,,,荷蘭,Netherlands,Netherlands,
儲能,Seed,電池循環經濟,"電池回收再利用,二次生命電池",Librec,,Librec,https://www.crunchbase.com/organization/librec,87748.0,Librec AG.,company,https://librec.ch/,CHE,Solothurn,Oensingen,operating,Librec provides technology for closed-loop recycling of large lithium-ion batteries from e-mobility.,"Battery,Manufacturing,Recycling","Energy,Manufacturing,Sustainability",3.0,4333019.0,2021-01-01,2021-08-12,,,https://images.crunchbase.com/image/upload/t_cb-default-original/rn8oudhvfogyhcitchs0,,company,,58a49e52-e52e-452d-bb54-0320854e9529,CHE,2021-08-12,2816462.0,,,1.0,Swiss Federal Office of Environment,organization,,CHE,government_office,3.0,,Swiss Federal Office of Environment,CEO,,,,,,,,,2021.0,2021.0,,,瑞士,Switzerland,Switzerland,
